"ort","cc","state_name","place_type","attractiveness_score","research_score","stay","stay_confidence","entry_fee","fact","when","avoid","stay_de","fact_de","when_de","avoid_de","entry_fee_de","stay_fr","fact_fr","when_fr","avoid_fr","entry_fee_fr"
"Rømø Beach","DK","Syddanmark","beach","91","3","Best option: Kommandørgården Camping – DKK 180/night, near beach access, good facilities. Alternative: Beach parking areas – day parking only, no overnight allowed. Wild camping: prohibited on beach, designated areas only","2","","12km wide beach allowing car driving directly onto sand, kitesurfing paradise","June-August for warmth, year-round for wind sports","Cars on beach create chaos, strong North Sea currents, jellyfish blooms","","","","","","","","","",""
"Sinemorets Beach","BG","Burgas","beach","91","3","Best option: Camping Sinemorets – €15/night, beachfront location, basic facilities. Alternative: Camping Silistar nearby. Wild camping: generally tolerated away from village, police rarely check","3","","Unspoiled Black Sea coast where Veleka River meets sea, least developed Bulgarian beach","June-September for swimming, May and October for fewer crowds","Limited facilities, strong currents near river mouth, development creeping in","","","","","","","","","",""
"Hilo","US","Hawaii","medium_town","91","3","Best option: Laupahoehoe Point County Park – $20/night, oceanfront, basic facilities but exposed to weather. Alternative: Private RV parks in town but limited options. Wild camping: prohibited, strictly enforced on beaches","3","","America's rainiest city (130+ inches annually) where it rains every single day somewhere in town, yet sits next to an active volcano in one of the world's driest climate zones","Apr–Oct","Nov–Mar: relentless daily downpours and volcanic smog","","","","","","","","","",""
"Plage de Legzira","MA","Souss-Massa","beach","91","3","Best option: Camping sites near Sidi Ifni – €10-15/night, basic facilities, 15km from beach. Alternative: Beachfront parking areas – unverified – check conditions locally. Wild camping: generally tolerated, respect local customs","3","","Famous red cliffs and natural arches, though main arch collapsed in 2016","March-May and September-November for comfortable temperatures","One natural arch already collapsed, strong Atlantic waves, tourist day trips","","","","","","","","","",""
"Roswell","US","New Mexico","medium_town","91","2","Best option: Walmart Supercenter North Main – free overnight parking permitted, facilities available
Alternative: Bottomless Lakes State Park – $14/night with hookups
Wild camping: tolerated on BLM and quiet roads, low enforcement","2","","Home to the world's largest collection of alien-themed businesses (over 50) including a UFO-shaped McDonald's and streetlights designed like alien heads","Mar–May, Sep–Nov","Jun–Aug: desert heat exceeds 100°F and UFO festival crowds","","","","","","","","","",""
"Newport","GB","Wales","medium_town","91","3","Best option: Riverside Caravan Park – £28/night, town outskirts, decent facilities. Alternative: Tredegar House Country Park – day parking only. Wild camping: illegal in Wales, strictly enforced","3","","Contains the world's oldest surviving transporter bridge (1906) that carries cars and people in a gondola 177 feet above the River Usk—still the fastest way across","May–Sep","Nov–Feb: Welsh rain makes outdoor sightseeing miserable","","","","","","","","","",""
"Patara Plajı","TR","Antalya","beach","91","3","Best option: Camping areas near Patara village – €12-18/night, walking distance to beach. Alternative: Gelemis village camping options. Wild camping: generally tolerated away from archaeological site, respect protected turtle nesting area","3","₺30 Patara ancient city entrance","18km of pristine sand backed by ancient Lycian ruins and protected turtle nesting site","May-June and September-October to avoid extreme heat and crowds","Sea turtle nesting areas off-limits at night, scorching summer heat, limited shade","","","","","","","","","",""
"Memphis","US","Tennessee","city","91","3","Best option: Tom Sawyer's RV Park – $45/night, downtown location, full hookups but urban setting. Alternative: Walmart Supercenter locations – check individual store policies. Wild camping: prohibited in city, private property only","2","","Sun Studio, where Elvis recorded his first song, still uses the same microphone and acoustic setup from 1954 - you can literally stand where rock 'n' roll was born for $14","Mar-May, Sep-Nov","Jul-Aug: brutal humidity makes walking Beale Street miserable","","","","","","","","","",""
"Oskarshamn","SE","Kalmar County","small_town","91","2","Best option: Oskarshamn Camping – SEK 300-400/night, harbor location, walking distance to ferry terminal
Alternative: Large supermarket parking (ICA/Coop) with discretion
Wild camping: legal under Right to Roam but not in town centre","2","","Home to Europe's deepest repository for nuclear waste, buried 460 meters underground in solid bedrock - plus you can tour the facility that inspired countless sci-fi movies","Jun-Aug","Nov-Feb: only 5-6 hours of daylight, everything closes early","","","","","","","","","",""
"Crikvenica","HR","Primorje-Gorski Kotar County","small_town","91","3","Best option: Camping Borići – €30/night, beachfront, good facilities. Alternative: Multiple autocamp options along coast. Wild camping: prohibited near beaches, some tolerance in rural areas with discretion","2","","Croatia's first seaside health resort (since 1888) sits on a unique microclimate where you can swim in 22°C water while snow covers nearby mountains just 30km inland","May-Jun, Sep","Jul-Aug: German and Austrian tourists triple the population, beaches packed","","","","","","","","","",""
"Marfa","US","Texas","village","91","2","Best option: Tumble In RV Park – $30-35/night, basic hookups, walking distance to galleries
Alternative: BLM dispersed camping excellent nearby
Wild camping: outstanding free options on BLM land, 14-day limit","2","","Population 1,700 but home to a $340 million contemporary art foundation in former military buildings - you'll find a Prada store art installation in the literal middle of nowhere","Oct-Apr","May-Sep: desert heat exceeds 100°F, no AC in many art spaces","","","","","","","","","",""
"Kaputaş Plajı","TR","Antalya","beach","91","3","Best option: Kaş area camping – €15/night, 20km from beach, multiple options. Alternative: Parking areas above beach – day use only, no facilities. Wild camping: generally tolerated in rural areas, avoid beach directly","3","","Tiny turquoise cove between towering cliffs accessible by steep stairway","May-June and September-October for swimming without crowds","Extremely crowded in summer, steep cliff access, no facilities","","","","","","","","","",""
"Møns Klint","DK","Sjælland","beach","91","3","Best option: Møns Klint Camping – €25-30/night, showers/toilets/electricity, 1km to cliffs
Alternative: Store Klint Camping – similar facilities, further from main viewpoint
Wild camping: illegal with heavy fines, strictly enforced","2","","Spectacular 128m white chalk cliffs rising from Baltic Sea with fossil hunting","May-September for hiking weather and fossil hunting","Dangerous cliff edges with frequent collapses, cold Baltic water, limited beach access","","","","","","","","","",""
"Kodiak","US","Alaska","small_town","91","2","Best option: Buskin River Inn RV Park – $40-50/night, full hookups, near airport
Alternative: Fort Abercrombie State Park – $15/night, scenic but basic
Wild camping: limited options, mostly private land","2","","Home to bears larger than grizzlies (Kodiak bears reach 1,500 pounds) and the largest Coast Guard base in the US - plus you need a 1-hour flight or 10-hour ferry to get here","Jun-Sep","Oct-May: weather too harsh for camping, many services closed","","","","","","","","","",""
"Djúpalónssandur","IS","null","beach","91","3","Best option: Hellnar Campsite – ISK 1500/night, basic facilities, 15km from beach
Alternative: Wild camping at designated spots near road – free but no facilities
Wild camping: tolerated if following Leave No Trace, not enforced strictly","2","","Black pebble beach with twisted metal from 1948 shipwreck and strength-testing stones","June-August for road access, though weather always harsh","Deadly waves that regularly kill tourists, freezing water, slippery rocks","","","","","","","","","",""
"Forggensee","DE","Bavaria","nature_reserve","90","3","Best option: Wohnmobilstellplatz Füssen – €15-18/night, dump station/electricity, 3km to lake
Alternative: Camping Brunnen – full campsite facilities, lakeside location
Wild camping: illegal, occasionally enforced with fines","1","","Largest reservoir in Bavaria with Neuschwanstein Castle views, artificial lake created 1954 for flood control","May-September for castle views, June-August for water activities","October-March drained for flood control revealing mudflats, summer crowds","","","","","","","","","",""
"Turquoise Lake","US","Colorado","nature_reserve","90","3","Best option: Turquoise Lake Campground – $25/night, vault toilets/picnic tables, lakeside
Alternative: Molly Brown Campground – 5km away, similar facilities
Wild camping: allowed in designated dispersed areas, follow forest service rules","2","$5 day use fee","High-altitude reservoir at 9869ft near Leadville, Colorado's highest incorporated city, turquoise waters below 14ers","June-September for road access, July-August for warmest weather","October-May snow closure, afternoon thunderstorms in summer","","","","","","","","","",""
"Lake Maggiore","IT","Piedmont","nature_reserve","90","3","Best option: Area Sosta Camper Verbania – €20/night, full services, 500m to lake
Alternative: Area Camper Stresa – €25/night, central location near ferry
Wild camping: illegal, frequently enforced especially in tourist season","1","","Second largest lake in Italy, 65km long extending into Switzerland, famous for Borromean Islands and luxury resorts","April-June and September-October for mild weather, spring for blooming gardens","July-August extreme crowds and heat, winter fog and cold","","","","","","","","","",""
"İztuzu Plajı","TR","Muğla","beach","90","3","Best option: Caretta Caretta Camping – 150TL/night, basic facilities, beachfront
Alternative: Dalyan camping areas – 10km inland, more facilities
Wild camping: tolerated outside turtle nesting season (May-Oct restricted)","2","25TL conservation fee","Protected 4.5km turtle nesting beach where loggerheads lay eggs, river delta ecosystem","May-June before turtle season restrictions, September after nesting ends","Night access banned during turtle nesting May-September, strong river currents, protected area rules","","","","","","","","","",""
"Mondsee","AT","Upper Austria","nature_reserve","90","3","Best option: Wohnmobilstellplatz Mondsee – €18/night, dump/electricity, 800m to lake
Alternative: Camping Grubhof – full campsite, lakeside but pricier
Wild camping: illegal, strictly enforced with €300+ fines","1","","Crescent-shaped lake in Salzkammergut region, filming location for Sound of Music wedding scene, warm swimming temperatures","May-September for swimming, August for warmest water","July-August peak tourist season, winter cold water temperatures","","","","","","","","","",""
"Vienna","AT","Wien","city","90","3","Best option: Camping Wien West – €35/night, excellent facilities, 30min to center by U-Bahn
Alternative: Reisemobilstellplatz Prater – €25/night, closer but basic
Wild camping: illegal in city, zero tolerance enforcement","1","","The city owns more social housing than any other European capital (60% of residents) and has public toilets designed by famous architects - including one that won design awards","Apr-Jun, Sep-Oct","Jul-Aug: tourist crowds make Schönbrunn unbearable, locals flee the city","","","","","","","","","",""
"Einsiedeln","CH","Schwyz","small_town","90","3","Best option: Wohnmobilstellplatz Einsiedeln – CHF 25/night, services available, 500m to abbey
Alternative: Camping Langnau – 8km away, full facilities
Wild camping: illegal, heavily fined CHF 200+","2","","The monastery's Black Madonna statue supposedly 'chose' this location in 861 by making the chapel walls bleed when moved elsewhere - still draws 200,000 pilgrims annually","May-Oct","Dec-Mar: mountain roads treacherous, monastery areas often closed for weather","","","","","","","","","",""
"Plage de Quiberon","FR","Bretagne","beach","90","3","Best option: Aire de Quiberon Port Haliguen – €12/night, services, 1km to beach
Alternative: Camping Goviro – beachside but expensive in season
Wild camping: tolerated off-season in some areas, avoided July-August","1","","Wild Atlantic coastline with powerful waves on west side, sheltered coves on east - famous for kitesurfing and windsurfing with dramatic granite cliffs","May-September for weather, September-October for fewer crowds but still decent conditions","Winter storms create dangerous currents, summer crowds are intense, wild camping strictly prohibited in most areas","","","","","","","","","",""
"Plage du Cap Ferret","FR","Nouvelle-Aquitaine","beach","90","3","Best option: Aire de Cap Ferret Bourg – €15/night, basic services, 2km to ocean beaches
Alternative: Camping La Jenny – expensive but full facilities
Wild camping: illegal, regularly patrolled and fined","2","","Pristine Atlantic beach on narrow peninsula with massive sand dunes, crystal clear water, and excellent oysters - Atlantic side has surf, bay side is calm","June-September for warmth, April-May and September-October for fewer crowds","August crowds are unbearable, strong Atlantic currents on ocean side, expensive parking, wild camping banned","","","","","","","","","",""
"Haarlem","NL","North Holland","medium_town","90","3","Best option: Camperplaats Spaarnwoude – €25/night, full services, 15min to center by bus
Alternative: Camping De Lakens – beachside but 45min to Haarlem
Wild camping: illegal, actively enforced with heavy fines","1","","The organ in Grote Kerk has 5,068 pipes and was played by 10-year-old Mozart in 1766 - you can still hear free concerts on the same instrument every Saturday","Apr-Sep","Nov-Feb: constant rain, most outdoor markets cancelled, depressing gray weather","","","","","","","","","",""
"Cabo San Lucas","MX","Baja California Sur","city","90","3","Best option: Vagabundos del Mar RV Park – $40/night, full hookups, walking distance to marina
Alternative: El Faro Viejo Trailer Park – cheaper but mixed reviews
Wild camping: generally unsafe and discouraged, police may move you","2","","The iconic arch sits where the Pacific Ocean and Sea of Cortez meet, creating a underwater canyon that drops 1,000 feet just offshore - Jacques Cousteau called it 'the world's aquarium'","Oct-May","Jun-Nov: hurricane season brings 100°F+ heat and potential storm evacuations","","","","","","","","","",""
"L'Aquila","IT","Abruzzo","medium_town","90","2","Best option: Area Sosta Camper L'Aquila – €15-20/night, services available, 3km from historic centre
Alternative: Hotel parking arrangements possible
Wild camping: tolerated outside town but earthquake damage makes some areas unsafe","3","","Still rebuilding from the devastating 2009 earthquake that killed 309 people - the medieval center remains largely scaffolded, creating an eerily beautiful ghost town effect","May-Jun, Sep-Oct","Dec-Mar: mountain location brings snow, many reconstruction sites inaccessible","","","","","","","","","",""
"Lake Chelan","US","Washington","nature_reserve","90","3","Best option: Lake Chelan State Park – $35-45/night, hookups available, lakefront sites
Alternative: Kamei Resort – private RV park, pricier but good facilities
Wild camping: allowed in National Forest areas with dispersed camping rules","1","$10 Discover Pass required","50.5-mile long fjord-like lake, third deepest in US at 1486ft, narrow glacial valley lake in North Cascades","July-September for boat access to Stehekin, August-September for best weather","October-June limited boat service, summer extreme heat in lower valley","","","","","","","","","",""
"Lake Superior","US","Michigan","nature_reserve","90","3","Best option: McLain State Park Campground – $25/night, some hookups, lakefront sites
Alternative: Porcupine Mountains State Park – inland but scenic
Wild camping: allowed in designated areas of Superior National Forest","2","","World's largest freshwater lake by surface area, contains 10% of Earth's fresh surface water, dramatic shipwrecks including Edmund Fitzgerald","Late June to early September for warmest water and clearest skies, fall for dramatic storm watching","Winter ice season December-April, summer weekends at popular beaches, requires careful weather monitoring year-round","","","","","","","","","",""
"Prague","CZ","Prague","city","90","3","Best option: Camp Dana-Troja – €25/night, metro connection, 20min to center
Alternative: Autocamp Sokol Troja – similar location, basic facilities
Wild camping: illegal in city, fines enforced","1","","The astronomical clock has been running since 1410 and includes a skeleton that nods at death every hour - plus Prague has more beer consumption per capita than anywhere on Earth","Apr-Jun, Sep-Oct","Jul-Aug: Old Town Square becomes an outdoor drunk tank for British stag parties","","","","","","","","","",""
"Rome","IT","Lazio","city","90","3","Best option: Roma Camping Village – €45/night, shuttle to metro, 45min to center
Alternative: Camping Tiber – cheaper but further out, mixed reviews
Wild camping: illegal, strictly enforced with heavy fines","1","","You can see three countries from St. Peter's dome (Italy, Vatican, San Marino) and the city has more churches than days in the year - 900+ active parishes","Apr-Jun, Sep-Nov","Jul-Aug: 95°F heat turns cobblestones into foot-burning torture devices","","","","","","","","","",""
"Okanagan Lake","CA","British Columbia","nature_reserve","90","3","Best option: Fintry Provincial Park – CAD $35/night, lakefront sites, boat launch
Alternative: Bear Creek Provincial Park – similar setup, different lake section
Wild camping: allowed on Crown land with 14-day limit, follow regulations","1","","Canada's legendary lake monster 'Ogopogo' habitat, 135km of wine country shoreline, warmest lake in BC for swimming","July-August for warmest water and wine harvest season, shoulder seasons for fewer crowds","Tourist peak July-August weekends, winter closure of mountain passes, fire season restrictions July-September","","","","","","","","","",""
"Athens","GR","Attica","city","90","3","Best option: Athens Camping – €30/night, bus to center, pool/facilities
Alternative: Camping Nea Kifisia – closer but consistently poor reviews – last resort only
Wild camping: illegal in city, actively enforced","2","","The Acropolis Museum was built on stilts over active archaeological excavations - you can see ongoing digs through glass floors while walking through 2,500-year-old artifacts","Mar-May, Sep-Nov","Jul-Aug: 104°F heat makes climbing to Parthenon genuinely dangerous","","","","","","","","","",""
"Annecy","FR","Auvergne-Rhône-Alpes","medium_town","90","3","Best option: Aire de Annecy – €18/night, services, 2km to old town
Alternative: Camping Le Belvédère – lakeside but expensive in season
Wild camping: illegal, regularly patrolled especially around lake","1","","The lake is so clean you can drink directly from it (fed by mountain springs) and stays swimmable even in winter due to thermal springs - it's called 'Pearl of the French Alps'","Jun-Sep","Dec-Mar: most lakeside activities closed, mountain passes require chains","","","","","","","","","",""
"Bern","CH","Bern","medium_town","90","3","Best option: Wohnmobilstellplatz Eichholz – CHF 30/night, riverside, 15min walk to center
Alternative: Camping Eichholz – same location, full campsite facilities
Wild camping: illegal, fines CHF 200+, strictly enforced","1","","Einstein developed his theory of relativity while working at the patent office here (1903-1909) - his apartment at Kramgasse 49 is now a museum with his original calculations","May-Sep","Nov-Feb: everything closes by 6pm, Sunday shopping completely banned by law","","","","","","","","","",""
"Madrid","ES","Community of Madrid","city","90","3","Best option: Área de Madrid Osuna – €20/night, metro connection, 30min to center
Alternative: Camping Alpha – further out but full facilities
Wild camping: illegal in city, fines enforced","2","","Dinner starts at 10pm and nightlife peaks at 3am - the city has more bars per capita than any European capital and locals literally live opposite schedules from tourists","Mar-May, Sep-Nov","Jul-Aug: 104°F heat empties the city, locals flee to coast, many restaurants close","","","","","","","","","",""
"Gent","BE","Gent","city","90","3","Best option: Camperplaats Blaarmeersen – €20/night, city bus connection, recreational area
Alternative: Camping Blaarmeersen – same location, more facilities
Wild camping: illegal, fines up to €350, actively enforced","1","","Thursday is 'Veggie Day' when all school cafeterias and many restaurants serve only vegetarian food - the first city in the world to implement this weekly meat ban","Apr-Oct","Nov-Feb: rain 20+ days per month, gray skies make medieval beauty depressing","","","","","","","","","",""
"Lac de Sainte-Croix","FR","Provence-Alpes-Côte d'Azur","nature_reserve","90","3","Best option: Aire de Sainte-Croix-du-Verdon – €12/night, basic services, lakeside
Alternative: Camping Les Pins – private campsite, more facilities but pricier
Wild camping: tolerated in designated areas, avoid peak summer","2","","Artificial turquoise lake in Verdon Gorge, Europe's Grand Canyon, created by dam in 1973 flooding ancient villages","May-June and September for perfect weather and fewer crowds, lavender bloom season nearby","July-August tourist madness, winter low water levels, parking nightmare at Verdon Gorge entrance points","","","","","","","","","",""
"Bari","IT","Apulia","city","90","3","Best option: Area Sosta Bari – €25/night, city bus connection, secure parking
Alternative: Camping San Giorgio – beachside but 20km from center
Wild camping: unsafe in city, not recommended","2","","Old ladies still make orecchiette pasta by hand on the streets every morning in Bari Vecchia - you can buy it fresh from their doorsteps for €3/kilo","Apr-Jun, Sep-Oct","Jul-Aug: 100°F+ heat with zero shade in the stone old town, unbearable","","","","","","","","","",""
"Ljubljana","SI","null","city","90","3","Best option: Ljubljana Resort – €35/night, bus to center, good facilities
Alternative: Camping Ježica – closer but consistently poor reviews – last resort only
Wild camping: illegal in city, fines enforced","2","","The entire city center has been car-free since 2008 and dragons (the city symbol) appear on over 2,000 structures - including a bridge where lovers attach padlocks","Apr-Oct","Dec-Feb: many outdoor cafes close, castle funicular shuts down in bad weather","","","","","","","","","",""
"Çıralı Plajı","TR","Antalya","beach","90","3","Best option: Çıralı camping areas – 100-150TL/night, beachfront, basic facilities
Alternative: Olympos camping – nearby, backpacker vibe
Wild camping: tolerated on beach outside main season, respect turtle nesting areas","2","","Protected sea turtle nesting beach with ancient Olympos ruins nearby and eternal flames of Chimaera - pebble beach backed by mountains","April-June and September-October for perfect weather and turtle season","Turtle nesting areas May-October (restricted access at night), jellyfish in late summer, very limited parking","","","","","","","","","",""
"Berlin","DE","Berlin","city","90","3","Best option: Wohnmobiloase Berlin – €25/night, excellent facilities, 45min to center by S-Bahn
Alternative: Campingplatz am Krossinsee – lakeside but further out
Wild camping: illegal, actively enforced with €55+ fines","1","","You can still find pieces of the Berlin Wall in people's gardens and basements - plus the city has more museums (180) than rainy days per year","May-Sep","Nov-Feb: only 6-7 hours daylight, constant drizzle, Christmas markets the only outdoor activity","","","","","","","","","",""
"Zermatt","CH","Wallis","small_town","90","3","Best option: Camping Matterhorn Täsch – CHF 45/night, shuttle train to Zermatt (cars banned)
Alternative: Randa camping – 20km away, cheaper but longer train journey
Wild camping: illegal, heavily fined CHF 500+, park rangers active","1","Train to Zermatt CHF 17 return","Cars have been banned since 1961 - only electric vehicles and horse-drawn carriages allowed, making it Europe's quietest alpine town with air so clean you can taste the difference.","Dec-Apr, Jul-Sept","May-Jun when lifts close for maintenance and hiking trails are muddy snowmelt mess","","","","","","","","","",""
"Weißensee","AT","Carinthia","nature_reserve","90","3","Best option: Wohnmobilstellplatz Weißensee – €22/night, lakeside, dump station
Alternative: Camping Neusach – full campsite facilities, slightly pricier
Wild camping: illegal, occasionally enforced with €300+ fines","1","","Austria's highest swimming lake at 930m, crystal clear water reaching 24°C, no motor boats allowed - pure tranquility","June-September for swimming, December-February for Europe's largest natural ice skating rink","Austrian school holidays in summer, requires advance booking for lakeside camping, limited winter access","","","","","","","","","",""
"Lake Lugano","CH","Ticino","nature_reserve","90","3","Best option: Wohnmobilstellplatz Lugano-Paradiso – CHF 25/night, electricity/water/disposal, 2km to city center
Alternative: Camping La Piodella (Melano) – lakeside location but 15km from Lugano
Wild camping: illegal, strictly enforced","2","","Glacial lake shared with Italy, Mediterranean climate in Alpine setting, tax haven surrounded by dramatic peaks","May-September for warm weather and boat trips, spring for blooming gardens without summer crowds","Expensive Switzerland pricing year-round, limited wild camping options, crowded summer weekends from Milan","","","","","","","","","",""
"Porto","PT","Porto","city","90","3","Best option: Área de Autocaravanas do Porto (Campanhã) – €12/night, full services, 4km to historic center via metro
Alternative: Camping Rio Alto – suburban location, shuttle to metro
Wild camping: illegal in urban areas, parking enforcement active","2","","Home to the world's most beautiful bookstore (Livraria Lello) which inspired Hogwarts' moving staircases and charges €5 entry fee just to browse books due to Harry Potter tourism.","May-Sept","Dec-Feb when Atlantic storms make the city grey, windy and depressingly wet","","","","","","","","","",""
"Interlaken","CH","Bern","small_town","90","3","Best option: Wohnmobilstellplatz Interlaken – CHF 35/night, mountain views, 1km to Westbahnhof
Alternative: Camping Lazy Rancho – consistently poor reviews, last resort only
Wild camping: illegal, tourist police patrol regularly","2","","Sits exactly 1,864 feet above sea level between two pristine Alpine lakes, making it the world's most expensive skydiving location at $400+ per jump.","Jun-Sept","Nov-Mar when weather blocks mountain views and outdoor activities shut down","","","","","","","","","",""
"Skopje","MK","City of Skopje","city","90","3","Best option: Autocamp Aleksandar Palace – €15/night, basic facilities, 8km to center
Alternative: Wild parking near Millennium Cross area – unverified, check Park4Night
Wild camping: tolerated outside city, minimal enforcement","3","","Contains over 130 statues and monuments crammed into 10 square miles as part of a bizarre €560 million 'antiquization' project that made it look like a theme park version of ancient Macedonia.","Apr-Jun, Sept-Oct","Jul-Aug when temperatures hit 40°C and the concrete statues radiate unbearable heat","","","","","","","","","",""
"Flathead Lake","US","Montana","nature_reserve","90","3","Best option: Flathead Lake State Park (various units) – $25-35/night, lakefront sites, vault toilets
Alternative: Big Arm Resort & Marina – private with hookups
Wild camping: allowed on National Forest Service land with 14-day limit","2","","Largest natural freshwater lake west of Mississippi, pristine waters surrounded by Mission Mountains, famous cherry orchards","July-August for warmest water and cherry season, September for fall colors and fewer crowds","Cherry festival crowds in July, winter road closures, extremely limited dispersed camping along shores","","","","","","","","","",""
"Lago d'Orta","IT","Piedmont","nature_reserve","90","3","Best option: Area Sosta Camper Orta San Giulio – €18/night, lake views, 500m to historic center
Alternative: Camping Orta – mixed reviews, check Park4Night before committing
Wild camping: illegal, occasional police checks","2","","Italy's most romantic lake with medieval island monastery, car-free Orta San Giulio, inspiration for countless artists","May-June and September-October for mild weather, April for spring blooms without summer tourists","August Italian holiday chaos, very limited camping options, narrow roads unsuitable for large RVs","","","","","","","","","",""
"Plage d'Agadir","MA","Souss-Massa","beach","90","3","Best option: Camping International d'Agadir – €20/night, beachside, basic facilities
Alternative: Wild parking along Boulevard Mohammed V – tolerated but no facilities
Wild camping: generally tolerated on beaches, respect local customs","3","","8km of golden sand with year-round surfable waves, backed by resort development but surprisingly clean with Atlas Mountains backdrop","March-May and September-November for best weather and waves","Summer heat is brutal, December-February can have rough seas, resort area lacks authenticity","","","","","","","","","",""
"Zürich","CH","Zürich","city","90","3","Best option: Wohnmobilstellplatz Reisemobilhafen Zürich – CHF 42/night, full services, 20min to center by tram
Alternative: Camping Seebucht Zürich – lakeside but expensive
Wild camping: illegal, heavy fines enforced","2","","Has more millionaires per capita than any other city globally, yet offers free summer swimming in pristine Lake Zürich with water quality so high it's technically drinkable.","May-Sept","Dec-Feb when daylight lasts only 8 hours and everything costs 3x more due to winter premium pricing","","","","","","","","","",""
"Braga","PT","Braga","medium_town","90","3","Best option: Área de Autocaravanas de Braga – €10/night, city center location, walking distance to cathedral
Alternative: Camping de Braga – suburban, shuttle service
Wild camping: illegal in city, enforcement moderate","2","","Houses the Bom Jesus do Monte sanctuary reached by a 577-step zigzag stairway that pilgrims climb on their knees, making it Portugal's most masochistic pilgrimage site.","Apr-Oct","Dec-Jan when Atlantic rain makes the marble steps dangerously slippery","","","","","","","","","",""
"Starnberger See","DE","Bavaria","nature_reserve","90","3","Best option: Wohnmobilstellplatz Starnberg – €22/night, lake access, 1km to S-Bahn
Alternative: Camping Pilsensee – nearby alternative with lake access
Wild camping: illegal, regular police patrols","2","","Bavaria's second largest lake, where King Ludwig II mysteriously drowned, Alpine views just 25km from Munich","June-August for swimming and festivals, May and September for hiking with fewer crowds","Munich weekend invasion year-round, expensive lakeside parking, strict wild camping enforcement","","","","","","","","","",""
"Casablanca","MA","Grand Casablanca-Settat","city","90","3","Best option: Camping de la Plage – €15/night, coastal location, basic facilities
Alternative: Wild parking near Hassan II Mosque – tolerated overnight but no services
Wild camping: generally tolerated, avoid city center","3","","The Hassan II Mosque has a 689-foot minaret with a laser beam pointing toward Mecca that's visible from 18 miles away, making it the world's tallest lighthouse-minaret hybrid.","Oct-Apr","Jun-Aug when humid Atlantic air combines with 35°C+ heat creating suffocating conditions","","","","","","","","","",""
"Sarajevo","BA","City of Sarajevo","city","90","3","Best option: Autocamp Oaza – €12/night, 6km from center, basic facilities
Alternative: Wild parking in Ilidža area – unverified, check Park4Night
Wild camping: tolerated outside city center, minimal enforcement","3","","The exact spot where WWI began is marked by Princip's footprints embedded in the sidewalk, plus the city survived the longest siege in modern warfare history (1,425 days).","May-Sept","Dec-Feb when smog from coal heating creates hazardous air quality in the valley","","","","","","","","","",""
"Attersee","AT","Upper Austria","nature_reserve","90","3","Best option: Wohnmobilstellplatz Attersee – €18/night, lakefront, swimming access
Alternative: Camping Attersee – mixed reviews, check Park4Night before committing
Wild camping: illegal, enforcement varies by municipality","2","","Austria's largest Alpine lake, Klimt's summer retreat with crystal clear 25m visibility, drinking water quality","June-September for swimming and sailing, May for spring hiking without summer crowds","Austrian summer holidays, limited free camping spots, requires reservations at official sites","","","","","","","","","",""
"Dresden","DE","Sachsen","city","90","3","Best option: Wohnmobilstellplatz Dresden-Neustadt – €18/night, Elbe views, 2km to Altstadt
Alternative: Camping Dresden-Mockritz – suburban location with tram connection
Wild camping: illegal, regular enforcement","2","","Rebuilt the Frauenkirche using original 18th-century construction techniques and 3,800 pieces of original rubble, creating a €180 million jigsaw puzzle of baroque perfection.","May-Sept","Nov-Mar when grey skies and short days make the rebuilt architecture look depressingly artificial","","","","","","","","","",""
"Mexico City","MX","Mexico City","city","90","1","unverified – check Park4Night","3","","","","","","","","","","","","","",""
"Lake Balaton","HU","Somogy","nature_reserve","90","3","Best option: Autóskemping Napfény (Balatonfüred) – €16/night, lakefront, multiple facilities
Alternative: Kemping Balatonlelle – southern shore option
Wild camping: illegal near lake, enforcement increasing during summer","2","","Central Europe's largest lake, shallow warm waters perfect for families, Hungary's 'sea' with wine regions","May-September for warm water, June for fewer crowds before Hungarian summer holidays","July-August Hungarian holiday madness, algae blooms in hot weather, limited wild camping enforcement varies","","","","","","","","","",""
"Lake Geneva","CH","Vaud","nature_reserve","90","3","Best option: Aire de camping-cars Lausanne-Vidy – CHF 35/night, lake access, 4km to center
Alternative: Camping de Morges – mixed reviews, check Park4Night before committing
Wild camping: illegal, heavily enforced","2","","Crescent-shaped Alpine lake between Switzerland and France, surrounded by UNESCO vineyard terraces and Alps","May-September for mild weather and vineyard visits, shoulder seasons for fewer tourists","Swiss prices year-round, summer crowds at popular spots, very limited wild camping options","","","","","","","","","",""
"Sofia","BG","Sofia-City","city","90","3","Best option: Camping Sofia – €15/night, 12km from center, basic facilities
Alternative: Wild parking near Boyana Church – unverified, check Park4Night
Wild camping: tolerated in outskirts, avoid city center","3","","Alexander Nevsky Cathedral's gold-plated dome contains 12 bells weighing up to 12 tons each, creating sound vibrations that can be felt in your chest from 500 meters away.","May-Sept","Dec-Feb when Balkan winds and pollution create brutal air quality","","","","","","","","","",""
